Unnamed: 0,debate_unit_id,label,span,source_annotators
11,79832,answer,"Men jeg bliver nødt til at sige, at for mig er det at have et erklæret mål om, at klimaspørgsmål ikke skal betyde stigende ulighed, ikke en snubletråd, men en insisteren på, at vi gør det her på den danske måde, hvor vi bevarer samfundets sammenhængskraft, en lav grad af ulighed, og løser den meget, meget alvorlige opgave, vi har foran os på klimaområdet.","T4XQCNVT,X8ONC7FW"
12,79832,evasion,"Jeg synes, det er noget af det, der er det stærkeste, ikke kun , men noget af det, der er stærkest i det arbejde, vi har blandt forståelsespartierne, og nu begynder vi at få flere partier i Folketinget med på i hvert fald 70-procentsmålsætningen.","TMOFL9OS,X8ONC7FW"
13,79832,evasion,"Men jeg bliver nødt til at sige, at for mig er det at have et erklæret mål om, at klimaspørgsmål ikke skal betyde stigende ulighed, ikke en snubletråd, men en insisteren på, at vi gør det her på den danske måde, hvor vi bevarer samfundets sammenhængskraft, en lav grad af ulighed, og løser den meget, meget alvorlige opgave, vi har foran os på klimaområdet.","TMOFL9OS,X8ONC7FW"
14,79832,evasion,"Jeg synes, det er noget af det, der er det stærkeste, ikke kun , men noget af det, der er stærkest i det arbejde, vi har blandt forståelsespartierne, og nu begynder vi at få flere partier i Folketinget med på i hvert fald 70-procentsmålsætningen.","X8ONC7FW,TMOFL9OS"
15,79834,answer,"Jeg er nødt til at sige, at kompensationsgraden ikke kan veksles til noget med skat, for faldet i kompensationsgraden skyldes jo flere forskellige ting.","FEG68TDY,3W55WS04"
16,79835,answer,Svaret er ja.,"GQV1P2A6,PCIEWQQM"
17,79835,answer,Svaret er ja.,"GQV1P2A6,XA2J3CRV"
18,79835,answer,Svaret er ja.,"PCIEWQQM,XA2J3CRV"
19,79836,answer,"Det forventer jeg bestemt kommer til at være en del af handlingsplanen, for ligegyldigt hvor antisemitismen har sin rod, skal vi bekæmpe den.","3W55WS04,QLQE68OW"
20,79836,answer,"Det forventer jeg bestemt kommer til at være en del af handlingsplanen, for ligegyldigt hvor antisemitismen har sin rod, skal vi bekæmpe den.","3W55WS04,H3RLK3KQ"
21,79836,answer,"Det forventer jeg bestemt kommer til at være en del af handlingsplanen, for ligegyldigt hvor antisemitismen har sin rod, skal vi bekæmpe den.","QLQE68OW,H3RLK3KQ"
22,79837,answer,"Men jeg kan af gode grunde ikke sætte et beløb på, for vi er ikke gået i gang med det her arbejde endnu","5F0GOPY8,V8LMMQZN"
23,79837,evasion,"Det minder i øvrigt om den diskussion, vi lige har haft på asylområdet","5F0GOPY8,V8LMMQZN"
24,79837,evasion,"altså, hvis ikke man har retningen, hvis ikke man har visionen, hvis ikke man har ideen, så kan det også være svært at finde midlerne","5F0GOPY8,V8LMMQZN"
25,79837,evasion,"for nu er forventningen jo selvfølgelig også, at de partier, der står bag klimaloven, er med til at løfte opgaven, når det kommer til klimahandlingsplaner.","5F0GOPY8,V8LMMQZN"
26,79837,evasion,"og jeg har jo lyst til at stille spørgsmålet til den anden side af Folketingssalen: Hvad er det, der skal skæres væk? Er det investeringen i psykiatrien, man ikke ønsker at støtte? Er det det, at der bliver bedre tid i daginstitutionerne? Gælder det børn i vuggestuer og børnehaver? Er det der, hvor vi dækker det demografiske træk for landets ældre, at der skal skæres noget væk?","5F0GOPY8,V8LMMQZN"
27,79842,answer,"i forhold til det her med flyskatter vil jeg sige, at jeg altså tror, det er vigtigt, at vi ser på de ting, der rykker noget, og at vi holder de her ting op imod hinanden, så jeg er ikke afvisende over for det her forslag, men jeg vil bare gerne kunne have nogle ting at sammenligne med for at se på de to ting, som egentlig er afgørende for hvert tiltag, vi laver. 1: Hvad koster det? 2: Hvad batter det? Og de to ting, inklusive hvor besværligt vi gør det for danskerne, skal vi altså holde op imod hinanden, inden vi træffer endelige beslutninger.","0XG4V7HF,FEG68TDY"
28,79842,answer,"Nå, i forhold til det her med flyskatter vil jeg sige, at jeg altså tror, det er vigtigt, at vi ser på de ting, der rykker noget, og at vi holder de her ting op imod hinanden, så jeg er ikke afvisende over for det her forslag, men jeg vil bare gerne kunne have nogle ting at sammenligne med for at se på de to ting, som egentlig er afgørende for hvert tiltag, vi laver. 1: Hvad koster det? 2: Hvad batter det? Og de to ting, inklusive hvor besværligt vi gør det for danskerne, skal vi altså holde op imod hinanden, inden vi træffer endelige beslutninger.","0XG4V7HF,3W55WS04"
29,79842,answer,"Men jeg synes, der er en eller anden ræson i, at vi taler om det, vi ved noget om, i stedet for det, vi føler noget om","0XG4V7HF,FEG68TDY"
30,79842,answer,"i forhold til det her med flyskatter vil jeg sige, at jeg altså tror, det er vigtigt, at vi ser på de ting, der rykker noget, og at vi holder de her ting op imod hinanden, så jeg er ikke afvisende over for det her forslag, men jeg vil bare gerne kunne have nogle ting at sammenligne med for at se på de to ting, som egentlig er afgørende for hvert tiltag, vi laver. 1: Hvad koster det? 2: Hvad batter det? Og de to ting, inklusive hvor besværligt vi gør det for danskerne, skal vi altså holde op imod hinanden, inden vi træffer endelige beslutninger.","FEG68TDY,3W55WS04"
31,79842,attack,Det burde da være et ret logisk synspunkt at have.,"0XG4V7HF,3W55WS04"
32,79842,self_promotion,"jeg har tværtimod, siden jeg blev formand for Parti_B, stået og skreget på, at vi skulle tale virkemidler, samtidig med at vi talte målsætninger. Men det var der ikke rigtig noget af. Det er noget, jeg har efterlyst gang på gang på gang","0XG4V7HF,FEG68TDY"
33,79844,answer,"Nej, det tror vi ikke. Vi tror, det her kommer til at koste","GQV1P2A6,PCIEWQQM"
34,79844,answer,"Nej, det tror vi ikke. Vi tror, det her kommer til at koste","GQV1P2A6,XA2J3CRV"
35,79844,answer,"vi tror, det bliver dyrt","GQV1P2A6,XA2J3CRV"
36,79844,answer,"Nej, det tror vi ikke. Vi tror, det her kommer til at koste","PCIEWQQM,XA2J3CRV"
37,79844,attack,"Det er tilsyneladende ikke noget, man kan forestille sig i resten af Folketinget","GQV1P2A6,PCIEWQQM"
38,79844,attack,"Det er tilsyneladende ikke noget, man kan forestille sig i resten af Folketinget, altså at man kan bruge råderum på det her, for det har man travlt med at bruge på yderligere velfærdsforbedringer.","PCIEWQQM,XA2J3CRV"
39,79844,evasion,"Jeg skal gerne sende definitionen af vores skattestop til Taleren bagefter, for jeg medgiver, at det også er noget, der forvirrer os selv en gang imellem. Vores skattestop er jo indrettet på den måde, at dels er tobak undtaget – det var alle tiders, for så kunne vi hæve priserne på cigaretter for nylig – og dels er der altså mulighed for at lave grønne omlægninger inden for vores skattestop. Det, der sådan set er vigtigt for mig, er, at vores klimatiltag er ægte grønne. Punkt 1: Vi skal ikke transportere vores problemer til udlandet, for udledninger i udlandet er lige så gale som dem herhjemme. Punkt 2: Danmark skal stadig væk være et grønt foregangsland. Vi skal være et land, andre lande kigger på og siger: Vi vil være som Danmark. Det er vi ikke, hvis man ikke har råd til at flyve, hvis vi har kødfrie tirsdage, bilfrie søndage og kolde bade.","PCIEWQQM,XA2J3CRV"
40,79845,attack,"Jeg skal stadig vende mig til, at man, når man stiller spørgsmål, får svar på alt muligt andet, men lad det nu ligge.","5PIQCGDC,X8ONC7FW"
41,79845,attack,"Jeg skal stadig vende mig til, at man, når man stiller spørgsmål, får svar på alt muligt andet,","5PIQCGDC,PK7GC1W8"
42,79845,attack,"og det ville være fristende bare at stoppe her, for Taleren efterlyste før klare svar fra min side","5PIQCGDC,PK7GC1W8"
43,79845,attack,"Jeg skal stadig vende mig til, at man, når man stiller spørgsmål, får svar på alt muligt andet,","X8ONC7FW,PK7GC1W8"
44,79845,evasion,"Der er mange, der fremhæver, at vores lille udledning bare er en dråbe i havet osv., jo, jo, men den argumentation køber jeg ikke. Vi kan være udstillingsvinduet, som viser verden vejen til den grønne omstilling, som viser, at det er muligt at have et godt samfund med velfærd, velstand og muligheder, men samtidig have den grønne omstilling.","5PIQCGDC,TMOFL9OS"
45,79845,evasion,"I det ligger altså også, at Danmark fortsat skal være et foregangsland. Og når jeg siger det som noget meget, meget afgørende, er det, fordi vores rolle i den grønne omstilling dels er at levere teknologi og knowhow til resten af verden, dels at være det gode eksempel. Der er mange, der fremhæver, at vores lille udledning bare er en dråbe i havet osv., jo, jo, men den argumentation køber jeg ikke. Vi kan være udstillingsvinduet, som viser verden vejen til den grønne omstilling, som viser, at det er muligt at have et godt samfund med velfærd, velstand og muligheder, men samtidig have den grønne omstilling. Det er Danmarks allervigtigste opgave i det her.","5PIQCGDC,X8ONC7FW"
46,79845,evasion,"Jeg tror, at det, der er vigtigt at gentage i den her forbindelse, er det, jeg sagde før til Taleren, om, at det skal være ægte grønt.","TMOFL9OS,X8ONC7FW"
47,79845,evasion,"Jeg tror, at det, der er vigtigt at gentage i den her forbindelse, er det, jeg sagde før til Taleren, om, at det skal være ægte grønt.","TMOFL9OS,PK7GC1W8"
48,79845,evasion,"Der er mange, der fremhæver, at vores lille udledning bare er en dråbe i havet osv., jo, jo, men den argumentation køber jeg ikke. Vi kan være udstillingsvinduet, som viser verden vejen til den grønne omstilling, som viser, at det er muligt at have et godt samfund med velfærd, velstand og muligheder, men samtidig have den grønne omstilling.","TMOFL9OS,X8ONC7FW"
49,79845,evasion,"Jeg tror, at det, der er vigtigt at gentage i den her forbindelse, er det, jeg sagde før til Taleren, om, at det skal være ægte grønt.","X8ONC7FW,PK7GC1W8"
50,79847,attack,"Det er jo den måde, Parti_A har arbejdet på indtil nu. Man har forsøgt at tale sig ind i hjerterne på rigtig mange danskere ved at sige: I får det her, I får det her, og I får det her – I kan bare komme an – men vi ved ikke rigtig, hvad det så bliver til i den praktiske verden.","X8ONC7FW,PCIEWQQM"
51,79847,evasion,"Når vi prioriterer ældreplejen, koster det også nogle penge. Der skal sættes penge af til en bedre ældrepleje. Der er det jo tankevækkende, at den finanslov, man lavede her for et par måneder siden, havde meget fokus på børnene og på minimumsstandarder i forhold til børnene. Spørgsmålet er, hvornår man kommer til minimumsstandarder for de ældre, som jo også savner nogle bedre vilkår i hele landet.","PCIEWQQM,EN4AMWYO"
52,79850,attack,"Nu ved jeg ikke, om Taleren ved noget, som jeg ikke ved i forhold til, hvad det er, der kommer til at ske med Storbritannien.","5F0GOPY8,V8LMMQZN"
53,79850,evasion,"Det kan da godt være, at der sidder nogle i Bruxelles, der tænker, at det kunne være sjovt, hvis det gør ondt på briterne, og man ikke rigtig laver nogle ordentlige handelsaftaler, men jeg håber da, at fornuften vil sejre, og at man kan se hen over det der politiske ønske om at genere hinanden og så få lavet nogle handelsaftaler, der er rigtig gode. Og så får vi jo lejlighed til at diskutere dem her i Folketinget igen.","5F0GOPY8,V8LMMQZN"
54,79852,attack,"Det er jo sjovt, for Taleren vælger nu i virkeligheden at bruge sin sidste partilederrunde til at argumentere for det modsatte af det, han argumenterede for i sidste valgperiode, for der handlede det jo om, at alle skulle være statsministerkandidater, alle skulle være potentielle ledere af oppositionen, og Taleren stillede endda sig selv til rådighed. Og nu beder han minsandten mig om at fortælle, om ikke der bare er en eller anden ledestjerne, man kan følge, og så er det der, man kan lægge sit lod. Det er nok ikke sådan, det er.","PCIEWQQM,XA2J3CRV"
55,79852,evasion,"Jeg tror, man skal lade tiden gå og finde ud af, hvordan tingene ender med at blive, og vi anerkender fuldstændig, at i den nuværende opposition fylder Parti_B selvfølgelig meget på grund af det valgresultat, de fik den 5. juni. Det har vi respekt for, for vi har respekt for danskernes valg, og så må vi se, hvordan tingene udarter sig frem mod næste valgdag","PCIEWQQM,XA2J3CRV"
56,79856,answer,"Og det er klart, at bryder man så med det, mister man vores opbakning.","GQV1P2A6,XA2J3CRV"
57,79856,evasion,"Når det er sagt, vil jeg gerne sige, at jeg jo synes det er en helt relevant problemstilling, hvad vi gør med folk, som har langt til pensionsalderen, men ikke er i stand til at passe det arbejde, de har haft.","GQV1P2A6,PCIEWQQM"
58,79856,evasion,"Jeg er jo helt enig i, at de beslutninger, vi har truffet, bl.a. om efterlønnen, er grundlaget for de finanslove, der er lavet siden, også med skiftende flertal, og den velfærd, vi har. Og derfor var forudsætningen for, at vi bakkede op om, at der blev dannet en ny regering efter valget, jo også, at den økonomiske politik var lagt i en, kan man sige, sikkert indhegning, som gør, at der ikke kan føres en politik, hvor man ikke finansierer nye initiativer med ny finansiering, og at der ikke kan ske en samlet svækkelse af beskæftigelsen i Danmark.","PCIEWQQM,XA2J3CRV"
59,79856,evasion,"Når det er sagt, vil jeg gerne sige, at jeg jo synes det er en helt relevant problemstilling, hvad vi gør med folk, som har langt til pensionsalderen, men ikke er i stand til at passe det arbejde, de har haft. Derfor glæder jeg mig jo over, at uanset hvem de er, hvad de har lavet, og hvilken uddannelse de har, så kan de i dag få hjælp, fordi de kan søge om en seniorpension. Derfor synes jeg faktisk, at vi skal glæde os over, at den første løsning, den kendte løsning, er sat i værk.","PCIEWQQM,XA2J3CRV"
60,79860,answer,"Jeg synes, at det saglige og det vigtige her er, at vi får fundet en bedre måde at fastslå, hvad sådan et generationsskifte koster med den beskatning, der skal være. Så kan man altid diskutere niveauet, og hvad man synes pengene skal bruges til.","T4XQCNVT,TMOFL9OS"
61,79860,answer,"Jeg synes, at det saglige og det vigtige her er, at vi får fundet en bedre måde at fastslå, hvad sådan et generationsskifte koster med den beskatning, der skal være. Så kan man altid diskutere niveauet, og hvad man synes pengene skal bruges til. Men det, som ikke lykkedes under den tidligere regering, og som med rette, synes jeg, har frustreret en række virksomheder, var at skabe en model, hvor man faktisk kan regne ud, hvad det kommer til at koste, hvis en virksomhed skal generationsskifte og virksomheden skal gå videre til næste led. Det kunne man ikke regne ud i det gamle system. Det kan man heller ikke for nærværende i det nye. Det synes vi skal laves om, og det håber jeg er en fælles sag.","T4XQCNVT,EN4AMWYO"
62,79860,answer,"Jeg synes, at det saglige og det vigtige her er, at vi får fundet en bedre måde at fastslå, hvad sådan et generationsskifte koster med den beskatning, der skal være. Så kan man altid diskutere niveauet, og hvad man synes pengene skal bruges til.","TMOFL9OS,EN4AMWYO"
63,79860,evasion,"Apropos strå er den mest kendte stråmand jo at tillægge andre et synspunkt, de ikke har, og så sige, at de er løbet fra det.","TMOFL9OS,EN4AMWYO"
64,79860,evasion,"Det har jo været klart, lige siden vi stemte imod, at man lempede beskatningen af generationsskifter, at vi ikke syntes, at der var 1 mia. kr. til at bruge til det, samtidig med at man skar ned på uddannelserne og svigtede den grønne omstilling osv.","TMOFL9OS,EN4AMWYO"
65,79860,evasion,"Det er vel et spørgsmål, der bider sig selv lidt i halen. Hvis ikke der kommer nogen penge ind på de skatter, er der næppe nogen, der har lidt stor nød, selv om Taleren kerer sig meget om det.","TMOFL9OS,EN4AMWYO"
66,79862,attack,"Jeg bliver selv med jævne mellemrum udråbt til nærmest hvad som helst af politikere fra Parti_K og tillagt synspunkter, som jeg aldrig har haft, og udtalelser, som jeg aldrig er kommet med, men som man vidt og bredt deler. Og det medfører ting, som jeg synes man burde rydde op i på sine egne sociale mediekanaler i forhold til kollegialiteten herinde.","5PIQCGDC,TMOFL9OS"
67,79862,attack,"Og jeg synes, det efterlader et indtryk af, at Parti_K stadig væk hører til i den heldigvis mindre og mindre kategori af folk, som benægter, at klimaforandringerne er menneskeskabte og et problem, vi skal tage alvorligt.","T4XQCNVT,X8ONC7FW"
68,79862,attack,"studser jeg over, om det reelt dækker over, at man ikke mener, at klimaforandringerne er et alvorligt problem, at man ikke anerkender, at videnskaben på det område globalt og via FN-rapporter understreger, hvor alvorligt det er, og at konsekvensen bl.a. bliver, at vejret bliver mere ekstremt.","T4XQCNVT,X8ONC7FW"
69,79862,evasion,"Og lidt i forlængelse af hr. Uffe Elbæks spørgsmål studser jeg over, om det reelt dækker over, at man ikke mener, at klimaforandringerne er et alvorligt problem, at man ikke anerkender, at videnskaben på det område globalt og via FN-rapporter understreger, hvor alvorligt det er, og at konsekvensen bl.a. bliver, at vejret bliver mere ekstremt.","5PIQCGDC,TMOFL9OS"
70,79862,evasion,"Og jeg synes, det efterlader et indtryk af, at Parti_K stadig væk hører til i den heldigvis mindre og mindre kategori af folk, som benægter, at klimaforandringerne er menneskeskabte og et problem, vi skal tage alvorligt.","5PIQCGDC,TMOFL9OS"
71,79863,answer,Ja,"0XG4V7HF,FEG68TDY"
72,79863,answer,"Der er en lang række områder, bl.a. miljøområdet, hvor man jo har en lang tradition for at lade forsigtighedsprincippet råde, og hvor det ikke – som dem, der sælger produkterne gerne vil have – handler så meget om at finde ud af, hvor meget gift man egentlig kan hælde ud rundtomkring, men jo mere handler om at finde ud af, om man kan undvære det. Derfor er vores grundsynspunkt sådan set, at vi skal bruge så lidt gift som overhovedet muligt, uanset om det er i planteproduktionen, private haver eller offentlige institutioner og den slags ting, og det er ud fra et forsigtighedsprincip, for når man opdager 50 år senere, at noget viste sig at være anderledes, end man troede, så er det lidt sent, når stofferne dukker op i drikkevandsboringerne","0XG4V7HF,FEG68TDY"
73,79865,answer,"Parti_E havde to ultimative krav til den regering, der sidder lige nu. Det ene var, at kontanthjælpsloftet skulle afskaffes. Der står i forståelsespapiret, at kontanthjælpsloftet afskaffes som en del af Ydelseskommissionen. Derudover var vores andet ultimative krav, at vi skulle indføre minimumsnormeringer i Danmark, og ellers stemte vi ikke for finansloven. Og man må jo sige, at der er indført minimumsnormeringer i Danmark, og at det er en del af finansloven","DIPTZ1WV,92WQXVXF"
74,79865,attack,"Jeg kan jo glæde Parti_Bs formand med, at han kan læse forståelsespapiret.","X8ONC7FW,92WQXVXF"
75,79865,attack,"Ikke desto mindre lærte Parti_E ikke nødvendigvis noget af det, for man stillede det ultimative krav forud for folketingsvalget, at kontanthjælpsloftet skulle afskaffes, hvis Parti_E skulle støtte en Parti_As regering. Parti_E gik oven i købet så langt som til at sige, at man ikke ville stemme for finansloven, medmindre det her skete.","X8ONC7FW,92WQXVXF"
76,79865,attack,"Ja, eller også finder man belejligt på at kalde det noget andet, når valget er blevet afholdt.","X8ONC7FW,92WQXVXF"
77,79868,answer,"Og jo, jeg kigger gerne på biodiversitet og biodiversitetslov, for med den melding, der lige er kommet i forhold til rødlisten, står vi med et uoverskueligt problem i forhold til arter i Danmark, hvis vi ikke snart får taget fingeren ud af et vist sted.","TMOFL9OS,EN4AMWYO"
78,79870,evasion,"Vi har simpelt hen brug for at nytænke hele vores uddannelsessystem med den stress, vi har lagt ind i uddannelsessystemet. Der er et enormt præstationsniveau lige nu. Børn paces frem, fordi de hele tiden skal måles og vejes, i stedet for at de også kan bruge tid på at blive dannet i løbet af deres uddannelsesperiode. Og når man begynder at komme op på karakterer som 10 og 12 og alene måler på dem, er der altså et ekstremt pres på de her unge. Vi taler om 12-talspiger, men jeg tror sådan set også, at der findes 12-talsdrenge. Det er jo den kultur, vi gerne vil gøre op med, så vi får reduceret stressen, så vi kan få gjort noget ved det – bl.a. det, at vi ser, at selvmordsraterne blandt unge i Danmark er alt for høje. Det er noget af det, vi skal have gjort noget ved, og det er jo det, vores forslag bunder i.","5PIQCGDC,T4XQCNVT"
79,79870,evasion,"Vi har simpelt hen brug for at nytænke hele vores uddannelsessystem med den stress, vi har lagt ind i uddannelsessystemet.","TMOFL9OS,PK7GC1W8"
80,79870,evasion,"Det er jo den kultur, vi gerne vil gøre op med, så vi får reduceret stressen, så vi kan få gjort noget ved det","TMOFL9OS,PK7GC1W8"
81,79870,evasion,"Jeg tror, det er en blanding af det hele. Jeg tror, det er en blanding af, at vi har nationale test, der måler og vejer vores børn helt ned i folkeskolen","TMOFL9OS,T4XQCNVT"
82,79870,evasion,at vi har stopprøver undervejs,"TMOFL9OS,T4XQCNVT"
83,79870,evasion,"Det kan være, det er til noget forskelligt, men ved at vi overhovedet går ind på den tankebane, er vi jo også med til hele tiden at kategorisere de unge i forskellige bokse. Det er den kultur, jeg gerne vil gøre op med.","T4XQCNVT,PK7GC1W8"
84,79871,evasion,"Jeg synes, noget af det, vi er slemme til her i Folketinget – ingen nævnt, ingen glemt","GQV1P2A6,X8ONC7FW"
85,79871,evasion,"jeg bærer selv en del af ansvaret for det – er, at når der er noget, vi har diskuteret og forsøgt at finde en løsning på, og nogle gange har den været god, andre gange har den været knap så god, viser det sig ofte i virkelighedens verden, så rykker vi, ofte bestemt af nogle ydre vilkår, videre til den næste problemstilling, som vi så går i gang med at løse. Derfor kunne jeg godt tænke mig, at vi i fællesskab bliver bedre til at dvæle lidt ved de udfordringer, der ikke bare går over, fordi man gør en enkelt ting","GQV1P2A6,X8ONC7FW"
86,79872,answer,"Nej, det er ikke Parti_Gs opfattelse, at vi nu er i mål med det meget store behov og meget vigtige krav om at få indført minimumsnormeringer i daginstitutionerne.","GQV1P2A6,XA2J3CRV"
87,79872,answer,Jamen det tror jeg bestemt der er,"GQV1P2A6,PCIEWQQM"
88,79872,answer,Jamen det tror jeg bestemt der er,"GQV1P2A6,XA2J3CRV"
89,79872,answer,"eg tror også, at der er nogen, der havde håbet, at det gik både hurtigere og stærkere, og er skuffet over forældrebetaling og meget andet","GQV1P2A6,XA2J3CRV"
90,79872,answer,Jamen det tror jeg bestemt der er,"PCIEWQQM,XA2J3CRV"
91,79873,evasion,"Det, der er Parti_Gs ønske at gøre for dansk landbrug – for det er en af de helt store udledere af klimagasser og skal omlægges, hvis vi skal have nogen som helst chance for at nå den målsætning, som nu heldigvis også Parti_F har tilsluttet sig, altså om 70-procentsreduktion i 2030 – er at pålægge det en CO 2 -afgift, som vi krone for krone fører tilbage til dansk landbrug til støtte til dem, der gerne vil omlægge sig, sådan at vi hjælper alle dem i landbruget, som rent faktisk gerne vil producere, omlægge fra svineproduktion til planteproduktion og andet, så det bliver mere bæredygtigt. Så for os handler det om at hjælpe landmændene.","T4XQCNVT,TMOFL9OS"
92,79874,answer,"Jeg mener grundlæggende, og sådan er reglerne jo også indrettet, at vi alle sammen har pligt til at bidrage i det omfang, vi kan, men at vi til gengæld også alle sammen har ret til at blive grebet i det omfang, vi har behov for det. Og derfor synes jeg, det er fint, at man står til rådighed for arbejdsmarkedet","T4XQCNVT,EN4AMWYO"
93,79876,answer,Det handler også om den private ejendomsret på alle planer.,"T4XQCNVT,TMOFL9OS"
94,79876,answer,"Men det, vi til gengæld rigtig gerne vil, er, at vi rigtig gerne vil udvide de ejerformer, som vi har i dag, til også at omfatte meget mere kooperativer, fælleseje, medarbejdereje.","T4XQCNVT,TMOFL9OS"
95,79876,answer,"Men det, vi til gengæld rigtig gerne vil, er, at vi rigtig gerne vil udvide de ejerformer, som vi har i dag, til også at omfatte meget mere kooperativer, fælleseje, medarbejdereje. Vi tror rent faktisk, at det fremmer vores samfund at fokusere mere på fællesskabet end bare enkeltindividers ejerformer.","T4XQCNVT,EN4AMWYO"
96,79876,answer,"Vi vil også rigtig gerne udvide forskellige ejerformer, tale om, hvordan de store virksomheder, der er i Danmark, er ejet, og om, at de store infrastrukturelle dele af vores samfund bør være på offentlige hænder og på fællesskabets hænder.","T4XQCNVT,TMOFL9OS"
97,79876,answer,"Men det, vi til gengæld rigtig gerne vil, er, at vi rigtig gerne vil udvide de ejerformer, som vi har i dag, til også at omfatte meget mere kooperativer, fælleseje, medarbejdereje.","TMOFL9OS,EN4AMWYO"
98,79876,answer,"Men den private ejendomsret? Ja, selvfølgelig!","TMOFL9OS,EN4AMWYO"
99,79878,answer,"Jamen det ved jeg ikke, men jeg går ud fra, at vi skal til at diskutere det her lidt mere i dybden på et tidspunkt, for jeg har det jo sådan, at det at bortadoptere og tvangsfjerne ikke er et mål i sig selv.","3W55WS04,QLQE68OW"
100,79878,answer,"Ja, hvis de voksne, vi taler om her, også er myndigheder. Det er klart, at et barn på 5 år synes jeg ikke man skal spørge om noget som helst i det her anliggende. Et barn på 14 år synes jeg skal have en eller anden indflydelse på, hvad der skal ske, og det er vel også dér, vi skal prøve at række ud og finde hinanden.","3W55WS04,H3RLK3KQ"
101,79879,answer,"Jeg synes, det er et meget stort problem","T4XQCNVT,TMOFL9OS"
102,79879,answer,"Jeg synes, det er et meget stort problem","T4XQCNVT,EN4AMWYO"
103,79879,answer,"det skal jeg på ingen måde sige at det ikke er. Det var sådan set derfor, at vi prøvede at gøre noget ved det – ved at styrke vores politi og få flere folk på gaden, ved at styrke de forskellige enheder, ved at lave en ny aftale for domstolene. Jeg erkender – og det har jeg faktisk også åbent gjort før – at hvis jeg sådan skulle pege på et sted og sige, at der burde vi have gjort noget mere, gælder det i hvert fald anklagemyndigheden. Der havde vi så meget fokus på at få styrket politiet ved sidste forlig, at vi ikke fik gjort nok ved anklagemyndigheden. Det synes jeg er en åben dør at løbe ind","T4XQCNVT,EN4AMWYO"
104,79879,answer,"der skal vi have gjort noget. Det er også derfor, at det må være en del af styrkelsen ved det forlig, vi skal lave nu.","T4XQCNVT,EN4AMWYO"
105,79879,answer,"Jeg synes, det er et meget stort problem","TMOFL9OS,EN4AMWYO"
